yearAndMonth,Year,Month,Unemployment(in thousands)
2015-10,2015,Oct,71
2015-11,2015,Nov,71
2015-12,2015,Dec,71
2016-01,2016,Jan,71
2016-02,2016,Feb,71
2016-03,2016,Mar,71
2016-04,2016,Apr,71
2016-05,2016,May,71
2016-06,2016,Jun,71
2016-07,2016,Jul,71
2016-08,2016,Aug,71
2016-09,2016,Sep,71
2016-10,2016,Oct,71
2016-11,2016,Nov,71
2016-12,2016,Dec,71
2017-01,2017,Jan,71
2017-02,2017,Feb,71
2017-03,2017,Mar,71
2017-04,2017,Apr,71
2017-05,2017,May,71
2017-06,2017,Jun,71
2017-07,2017,Jul,71
2017-08,2017,Aug,71
2017-09,2017,Sep,71
2017-10,2017,Oct,71
2017-11,2017,Nov,71
2017-12,2017,Dec,71
2018-01,2018,Jan,71
2018-02,2018,Feb,71
2018-03,2018,Mar,71
2018-04,2018,Apr,71
2018-05,2018,May,71
2018-06,2018,Jun,71
2018-07,2018,Jul,71
2018-08,2018,Aug,71
2018-09,2018,Sep,71
2018-10,2018,Oct,71
2018-11,2018,Nov,71
2018-12,2018,Dec,71
2019-01,2019,Jan,71
2019-02,2019,Feb,71
2019-03,2019,Mar,71
2019-04,2019,Apr,71
2019-05,2019,May,71
2019-06,2019,Jun,71
2019-07,2019,Jul,71
2019-08,2019,Aug,71
2019-09,2019,Sep,71
2019-10,2019,Oct,71
2019-11,2019,Nov,71
2019-12,2019,Dec,71
2020-01,2020,Jan,71
2020-02,2020,Feb,71
2020-03,2020,Mar,70
2020-04,2020,Apr,68
2020-05,2020,May,69
2020-06,2020,Jun,69
2020-07,2020,Jul,69
2020-08,2020,Aug,70
2020-09,2020,Sep,69
2020-10,2020,Oct,70
2020-11,2020,Nov,69
2020-12,2020,Dec,69
2021-01,2021,Jan,69
2021-02,2021,Feb,69
2021-03,2021,Mar,69
2021-04,2021,Apr,69
2021-05,2021,May,69
2021-06,2021,Jun,69
2021-07,2021,Jul,70
2021-08,2021,Aug,70
2021-09,2021,Sep,70
2021-10,2021,Oct,69
2021-11,2021,Nov,70
2021-12,2021,Dec,70
2022-01,2022,Jan,70
2022-02,2022,Feb,70
2022-03,2022,Mar,70
2022-04,2022,Apr,70
2022-05,2022,May,70
2022-06,2022,Jun,70
2022-07,2022,Jul,69
2022-08,2022,Aug,70
2022-09,2022,Sep,70
2022-10,2022,Oct,70
2022-11,2022,Nov,70
2022-12,2022,Dec,70
2023-01,2023,Jan,70
2023-02,2023,Feb,70
2023-03,2023,Mar,70
2023-04,2023,Apr,70
2023-05,2023,May,70
2023-06,2023,Jun,70
2023-07,2023,Jul,70
2023-08,2023,Aug,70
2023-09,2023,Sep,70
